id,time,temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),sunrise (iso8601),sunset (iso8601),windspeed_10m_max (km/h),windgusts_10m_max (km/h),winddirection_10m_dominant (°),shortwave_radiation_sum (MJ/m²),city,snowfall,precipitation,rain_sum (mm),class
10,2018-01-11 00:00:00,31.3,24.7,35.4,29.0,2018-01-11 05:46:08,2018-01-11 18:13:23,15.5,37.1,265.5636,16.06,B,0.0,1.3000001,1.3000001,Hujan Ringan
11,2018-01-12 00:00:00,30.5,25.3,35.0,29.2,2018-01-12 05:46:37,2018-01-12 18:13:42,17.6,43.6,286.60397,18.9,B,0.0,1.0,1.0,Hujan Ringan
12,2018-01-13 00:00:00,30.5,25.9,35.8,29.2,2018-01-13 05:47:05,2018-01-13 18:14:00,17.6,49.3,278.84335,21.64,B,0.0,1.7,1.7,Hujan Ringan
13,2018-01-14 00:00:00,29.4,24.3,32.9,27.6,2018-01-14 05:47:34,2018-01-14 18:14:17,17.7,41.4,268.49847,14.44,B,0.0,9.2,9.2,Hujan Sedang
14,2018-01-15 00:00:00,28.6,23.7,32.3,26.8,2018-01-15 05:48:02,2018-01-15 18:14:34,19.7,44.3,264.50058,14.41,B,0.0,14.200001,14.200001,Hujan Sedang
15,2018-01-16 00:00:00,28.9,24.2,31.9,25.8,2018-01-16 05:48:29,2018-01-16 18:14:49,17.5,52.6,262.7653,13.32,B,0.0,4.2999997,4.2999997,Hujan Ringan
16,2018-01-17 00:00:00,29.4,24.6,33.0,28.9,2018-01-17 05:48:56,2018-01-17 18:15:04,17.0,37.4,262.56433,13.96,B,0.0,7.0,7.0,Hujan Sedang
17,2018-01-18 00:00:00,27.5,24.5,32.0,28.9,2018-01-18 05:49:23,2018-01-18 18:15:18,14.8,38.9,268.22244,12.2,B,0.0,13.1,13.1,Hujan Sedang
18,2018-01-19 00:00:00,29.0,24.5,32.5,28.1,2018-01-19 05:49:49,2018-01-19 18:15:31,18.8,43.9,251.27307,9.14,B,0.0,14.0,14.0,Hujan Sedang
19,2018-01-20 00:00:00,30.0,24.2,33.6,27.2,2018-01-20 05:50:14,2018-01-20 18:15:43,21.4,55.4,250.45445,18.04,B,,,6.5,Hujan Sedang
20,2018-01-21 00:00:00,30.9,24.8,34.5,28.7,2018-01-21 05:50:38,2018-01-21 18:15:54,19.1,49.0,255.66,15.98,B,0.0,2.6,2.6,Hujan Ringan
21,2018-01-22 00:00:00,28.1,25.2,31.6,28.3,2018-01-22 05:51:02,2018-01-22 18:16:03,17.5,43.9,254.03584,11.19,B,0.0,7.3999996,7.3999996,Hujan Sedang
22,2018-01-23 00:00:00,30.3,25.0,36.5,28.6,2018-01-23 05:51:25,2018-01-23 18:16:12,17.8,42.8,280.76636,20.6,B,0.0,11.0,11.0,Hujan Sedang
23,2018-01-24 00:00:00,30.9,24.9,37.1,29.4,2018-01-24 05:51:46,2018-01-24 18:16:19,13.5,39.2,270.85825,20.61,B,0.0,5.4,5.4,Hujan Ringan
24,2018-01-25 00:00:00,30.2,24.8,33.8,28.2,2018-01-25 05:52:07,2018-01-25 18:16:26,19.8,58.0,253.69017,20.37,B,0.0,1.4000001,1.4000001,Hujan Ringan
25,2018-01-26 00:00:00,30.2,24.5,34.0,28.3,2018-01-26 05:52:28,2018-01-26 18:16:31,22.7,59.4,258.66556,20.12,B,0.0,6.6,6.6,Hujan Sedang
26,2018-01-27 00:00:00,30.5,25.3,34.6,28.7,2018-01-27 05:52:47,2018-01-27 18:16:36,20.1,46.8,274.2104,20.53,B,0.0,1.7,1.7,Hujan Ringan
27,2018-01-28 00:00:00,28.7,24.9,32.0,27.5,2018-01-28 05:53:07,2018-01-28 18:16:39,23.9,62.3,263.37473,15.88,B,0.0,7.0999994,7.0999994,Hujan Sedang
28,2018-01-29 00:00:00,28.0,24.3,31.7,26.9,2018-01-29 05:53:25,2018-01-29 18:16:42,19.5,40.0,260.8286,7.74,B,0.0,16.0,16.0,Hujan Sedang
29,2018-01-30 00:00:00,29.9,24.4,33.9,28.0,2018-01-30 05:53:43,2018-01-30 18:16:43,21.8,47.5,261.9998,15.18,B,,,5.9999995,Hujan Ringan
30,2018-01-31 00:00:00,30.5,24.8,34.6,28.7,2018-01-31 05:54:01,2018-01-31 18:16:44,16.9,40.7,269.1685,17.35,B,0.0,6.2999997,6.2999997,Hujan Ringan
31,2018-02-01 00:00:00,30.7,25.1,36.4,29.5,2018-02-01 05:54:18,2018-02-01 18:16:44,15.5,37.4,285.97034,16.46,B,0.0,8.8,8.8,Hujan Sedang
32,2018-02-02 00:00:00,31.0,25.3,36.4,29.5,2018-02-02 05:54:34,2018-02-02 18:16:43,18.2,39.2,291.56207,21.81,B,0.0,6.0,6.0,Hujan Ringan
33,2018-02-03 00:00:00,29.3,24.4,35.8,28.9,2018-02-03 05:54:49,2018-02-03 18:16:41,15.2,39.2,290.8186,17.29,B,0.0,7.000001,7.000001,Hujan Sedang
34,2018-02-04 00:00:00,29.4,24.7,34.7,29.0,2018-02-04 05:55:04,2018-02-04 18:16:38,16.3,35.3,294.77512,19.86,B,0.0,8.1,8.1,Hujan Sedang
35,2018-02-05 00:00:00,27.8,24.5,32.3,28.6,2018-02-05 05:55:19,2018-02-05 18:16:34,16.3,38.5,271.82404,15.09,B,0.0,8.599999,8.599999,Hujan Sedang
36,2018-02-06 00:00:00,28.7,23.9,33.2,28.4,2018-02-06 05:55:32,2018-02-06 18:16:30,17.5,37.1,293.8031,16.8,B,0.0,20.499998,20.499998,Hujan Sedang
37,2018-02-07 00:00:00,28.5,23.7,33.1,28.0,2018-02-07 05:55:45,2018-02-07 18:16:25,14.8,32.0,295.9973,14.85,B,0.0,7.0999994,7.0999994,Hujan Ringan
38,2018-02-08 00:00:00,28.5,24.6,32.8,29.2,2018-02-08 05:55:58,2018-02-08 18:16:19,16.5,33.1,300.58902,15.18,B,0.0,22.4,22.4,Hujan Sedang
39,2018-02-09 00:00:00,29.5,23.6,35.2,27.7,2018-02-09 05:56:10,2018-02-09 18:16:12,18.5,34.9,288.38235,18.4,B,,,11.5,Hujan Sedang
40,2018-02-10 00:00:00,30.1,24.1,35.3,28.6,2018-02-10 05:56:21,2018-02-10 18:16:04,17.2,33.5,285.7607,21.6,B,0.0,5.1,5.1,Hujan Ringan
41,2018-02-11 00:00:00,29.2,24.3,33.6,28.6,2018-02-11 05:56:31,2018-02-11 18:15:56,18.1,33.8,300.6895,19.02,B,0.0,5.3,5.3,Hujan Ringan
42,2018-02-12 00:00:00,28.9,24.3,32.9,28.5,2018-02-12 05:56:41,2018-02-12 18:15:47,18.2,35.6,297.87918,16.44,B,0.0,21.900002,21.900002,Hujan Sedang
43,2018-02-13 00:00:00,29.9,24.8,34.3,29.6,2018-02-13 05:56:50,2018-02-13 18:15:37,17.3,34.6,289.25513,17.81,B,0.0,3.4999998,3.4999998,Hujan Ringan
44,2018-02-14 00:00:00,29.2,24.8,33.4,29.2,2018-02-14 05:56:58,2018-02-14 18:15:26,15.5,33.8,283.43103,15.53,B,0.0,10.499999,10.499999,Hujan Sedang
45,2018-02-15 00:00:00,27.7,24.5,31.9,28.4,2018-02-15 05:57:05,2018-02-15 18:15:15,19.0,39.6,270.53546,10.76,B,0.0,19.400002,19.400002,Hujan Sedang
46,2018-02-16 00:00:00,30.6,24.0,35.6,27.9,2018-02-16 05:57:12,2018-02-16 18:15:02,15.8,37.8,278.40234,17.19,B,0.0,3.4,3.4,Hujan Ringan
47,2018-02-17 00:00:00,29.6,24.1,35.2,28.2,2018-02-17 05:57:18,2018-02-17 18:14:48,16.6,35.3,274.04077,22.18,B,0.0,8.9,8.9,Hujan Sedang
48,2018-02-18 00:00:00,30.4,24.4,35.7,29.0,2018-02-18 05:57:23,2018-02-18 18:14:33,14.4,30.6,285.9117,18.91,B,0.0,5.6999993,5.6999993,Hujan Ringan
49,2018-02-19 00:00:00,30.1,24.6,35.8,30.0,2018-02-19 05:57:27,2018-02-19 18:14:18,15.8,32.0,285.3021,19.83,B,,,17.999998,Hujan Sedang
50,2018-02-20 00:00:00,30.6,24.6,36.1,29.9,2018-02-20 05:57:31,2018-02-20 18:14:01,13.7,31.0,286.43848,19.43,B,0.0,11.2,11.2,Hujan Sedang
51,2018-02-21 00:00:00,31.1,24.7,38.0,29.8,2018-02-21 05:57:34,2018-02-21 18:13:44,16.1,29.9,291.8291,22.87,B,0.0,14.099998,14.099998,Hujan Sedang
52,2018-02-22 00:00:00,29.6,24.5,35.5,30.0,2018-02-22 05:57:36,2018-02-22 18:13:26,10.9,25.2,308.16763,17.2,B,0.0,5.799999,5.799999,Hujan Ringan
53,2018-02-23 00:00:00,30.3,24.4,35.8,29.8,2018-02-23 05:57:38,2018-02-23 18:13:07,13.1,24.1,297.60077,17.37,B,0.0,13.900001,13.900001,Hujan Sedang
54,2018-02-24 00:00:00,30.9,24.2,37.8,29.3,2018-02-24 05:57:39,2018-02-24 18:12:48,12.9,27.0,293.76157,21.43,B,0.0,9.0,9.0,Hujan Sedang
55,2018-02-25 00:00:00,31.2,24.2,37.5,29.0,2018-02-25 05:57:40,2018-02-25 18:12:28,12.6,26.3,282.09473,21.22,B,0.0,3.4,3.4,Hujan Ringan
56,2018-02-26 00:00:00,29.6,24.0,35.8,28.6,2018-02-26 05:57:40,2018-02-26 18:12:08,7.9,21.2,302.5681,15.15,B,0.0,16.3,16.3,Hujan Sedang
57,2018-02-27 00:00:00,30.9,24.2,36.0,28.8,2018-02-27 05:57:40,2018-02-27 18:11:48,11.7,24.8,285.18933,17.5,B,0.0,2.8,2.8,Hujan Ringan
58,2018-02-28 00:00:00,29.9,24.9,35.6,30.5,2018-02-28 05:57:40,2018-02-28 18:11:26,10.5,22.7,314.20062,16.83,B,0.0,12.400002,12.400002,Hujan Sedang
59,2018-03-01 00:00:00,31.0,24.7,38.8,30.2,2018-03-01 05:57:39,2018-03-01 18:11:05,10.1,25.2,306.20267,21.49,B,,,25.999998,Hujan Sedang
60,2018-03-02 00:00:00,31.9,24.2,40.0,29.2,2018-03-02 05:57:38,2018-03-02 18:10:43,11.7,25.6,290.64703,22.65,B,0.0,4.1,4.1,Hujan Ringan
61,2018-03-03 00:00:00,30.0,25.1,35.9,30.9,2018-03-03 05:57:37,2018-03-03 18:10:21,9.7,27.4,359.56918,16.53,B,0.0,8.900001,8.900001,Hujan Sedang
62,2018-03-04 00:00:00,31.2,24.6,38.2,30.0,2018-03-04 05:57:35,2018-03-04 18:09:59,10.5,24.5,309.17365,18.42,B,0.0,8.8,8.8,Hujan Sedang
63,2018-03-05 00:00:00,30.1,24.0,36.5,28.5,2018-03-05 05:57:33,2018-03-05 18:09:37,8.0,25.6,275.05975,16.9,B,0.0,13.1,13.1,Hujan Sedang
64,2018-03-06 00:00:00,30.3,24.8,37.2,30.1,2018-03-06 05:57:31,2018-03-06 18:09:14,9.3,24.1,268.75912,18.58,B,0.0,5.6,5.6,Hujan Ringan
65,2018-03-07 00:00:00,31.3,24.6,37.9,29.4,2018-03-07 05:57:28,2018-03-07 18:08:50,16.5,31.7,259.52682,21.88,B,0.0,15.799999,15.799999,Hujan Sedang
66,2018-03-08 00:00:00,30.6,24.3,36.4,29.2,2018-03-08 05:57:24,2018-03-08 18:08:26,10.2,28.4,269.6243,15.28,B,0.0,13.2,13.2,Hujan Sedang
67,2018-03-09 00:00:00,31.6,24.8,36.9,30.0,2018-03-09 05:57:20,2018-03-09 18:08:01,14.1,29.9,278.74606,18.86,B,0.0,19.599998,19.599998,Hujan Sedang
68,2018-03-10 00:00:00,30.8,25.0,35.9,30.0,2018-03-10 05:57:15,2018-03-10 18:07:35,12.7,27.4,294.511,13.7,B,0.0,10.5,10.5,Hujan Sedang
69,2018-03-11 00:00:00,30.4,24.9,35.3,29.6,2018-03-11 05:57:10,2018-03-11 18:07:09,12.8,25.9,281.3757,12.49,B,,,34.0,Hujan Lebat
70,2018-03-12 00:00:00,29.2,25.1,33.6,29.5,2018-03-12 05:57:04,2018-03-12 18:06:42,16.6,31.7,284.66733,16.5,B,0.0,13.6,13.6,Hujan Sedang
71,2018-03-13 00:00:00,29.5,24.5,34.5,28.3,2018-03-13 05:56:58,2018-03-13 18:06:15,12.6,27.0,281.5216,16.17,B,0.0,3.5999997,3.5999997,Hujan Ringan
72,2018-03-14 00:00:00,31.3,24.6,37.8,29.4,2018-03-14 05:56:51,2018-03-14 18:05:48,12.2,26.3,272.98502,22.91,B,0.0,1.2,1.2,Hujan Ringan
73,2018-03-15 00:00:00,33.1,24.5,40.4,29.6,2018-03-15 05:56:44,2018-03-15 18:05:20,10.0,27.4,241.0871,24.42,B,0.0,1.9,1.9,Hujan Ringan
74,2018-03-16 00:00:00,31.8,24.2,39.7,29.2,2018-03-16 05:56:37,2018-03-16 18:04:52,8.1,22.3,119.2488,22.78,B,0.0,11.4,11.4,Hujan Sedang
75,2018-03-17 00:00:00,29.7,24.3,35.9,30.2,2018-03-17 05:56:30,2018-03-17 18:04:24,9.7,27.0,250.39145,16.82,B,0.0,12.299999,12.299999,Hujan Sedang
76,2018-03-18 00:00:00,31.7,23.7,38.5,28.7,2018-03-18 05:56:23,2018-03-18 18:03:55,8.4,20.2,74.890366,19.89,B,0.0,0.2,0.2,Tidak Hujan
77,2018-03-19 00:00:00,31.6,24.2,39.5,29.1,2018-03-19 05:56:16,2018-03-19 18:03:27,11.4,24.1,313.71884,21.66,B,0.0,10.599999,10.599999,Hujan Sedang
78,2018-03-20 00:00:00,32.1,24.4,40.9,29.8,2018-03-20 05:56:08,2018-03-20 18:02:59,11.5,26.6,273.24518,23.99,B,0.0,6.7999997,6.7999997,Hujan Ringan
79,2018-03-21 00:00:00,29.6,24.6,33.7,28.6,2018-03-21 05:56:01,2018-03-21 18:02:31,22.9,44.6,264.00467,17.83,B,,,3.7,Hujan Ringan
80,2018-03-22 00:00:00,30.7,24.9,35.4,28.3,2018-03-22 05:55:54,2018-03-22 18:02:03,15.8,39.2,272.94467,18.89,B,0.0,10.5,10.5,Hujan Sedang
81,2018-03-23 00:00:00,31.0,24.1,37.4,28.5,2018-03-23 05:55:47,2018-03-23 18:01:35,12.9,26.6,277.44864,19.81,B,0.0,2.7,2.7,Hujan Ringan
82,2018-03-24 00:00:00,29.2,25.0,35.6,29.6,2018-03-24 05:55:40,2018-03-24 18:01:08,9.8,36.7,255.1413,13.88,B,0.0,14.0,14.0,Hujan Sedang
83,2018-03-25 00:00:00,31.1,24.1,36.8,28.1,2018-03-25 05:55:33,2018-03-25 18:00:41,12.3,27.4,251.77481,20.03,B,0.0,8.799999,8.799999,Hujan Sedang
84,2018-03-26 00:00:00,29.8,24.4,35.2,29.3,2018-03-26 05:55:26,2018-03-26 18:00:14,13.4,28.4,266.51678,16.01,B,0.0,17.700003,17.700003,Hujan Sedang
85,2018-03-27 00:00:00,29.9,24.4,36.1,28.7,2018-03-27 05:55:19,2018-03-27 17:59:46,8.4,24.8,257.48822,17.99,B,0.0,14.900001,14.900001,Hujan Sedang
86,2018-03-28 00:00:00,31.7,24.2,39.1,28.6,2018-03-28 05:55:11,2018-03-28 17:59:18,9.2,21.6,261.90454,22.71,B,0.0,1.0,1.0,Hujan Ringan
87,2018-03-29 00:00:00,32.6,24.2,39.3,28.6,2018-03-29 05:55:03,2018-03-29 17:58:50,10.5,21.6,254.69377,23.85,B,0.0,0.6,0.6,Hujan Ringan
88,2018-03-30 00:00:00,32.6,23.6,39.9,27.7,2018-03-30 05:54:55,2018-03-30 17:58:22,11.5,22.0,258.92694,24.17,B,0.0,0.70000005,0.70000005,Hujan Ringan
89,2018-03-31 00:00:00,31.9,25.1,37.5,29.3,2018-03-31 05:54:47,2018-03-31 17:57:54,16.3,30.6,263.93616,22.66,B,,,5.3999996,Hujan Ringan
90,2018-04-01 00:00:00,31.4,25.4,37.4,29.9,2018-04-01 05:54:39,2018-04-01 17:57:25,17.9,34.2,267.55942,22.09,B,0.0,5.8,5.8,Hujan Ringan
91,2018-04-02 00:00:00,30.9,25.2,37.7,30.1,2018-04-02 05:54:31,2018-04-02 17:56:57,14.4,32.8,280.0146,19.92,B,0.0,5.3,5.3,Hujan Ringan
92,2018-04-03 00:00:00,30.8,24.3,37.2,29.2,2018-04-03 05:54:23,2018-04-03 17:56:28,11.2,23.4,273.39786,21.82,B,0.0,17.5,17.5,Hujan Sedang
93,2018-04-04 00:00:00,31.8,24.3,39.9,29.1,2018-04-04 05:54:15,2018-04-04 17:56:00,9.1,20.5,299.60425,21.75,B,0.0,8.600001,8.600001,Hujan Sedang
94,2018-04-05 00:00:00,32.1,25.1,39.1,30.6,2018-04-05 05:54:07,2018-04-05 17:55:32,8.8,21.6,108.43506,22.29,B,0.0,3.1000001,3.1000001,Hujan Ringan
95,2018-04-06 00:00:00,30.9,24.9,38.2,29.8,2018-04-06 05:53:59,2018-04-06 17:55:05,9.5,26.3,110.22495,22.52,B,0.0,3.8999999,3.8999999,Hujan Ringan
96,2018-04-07 00:00:00,32.0,24.9,38.4,30.2,2018-04-07 05:53:52,2018-04-07 17:54:37,11.0,24.5,97.89458,22.13,B,0.0,9.5,9.5,Hujan Sedang
97,2018-04-08 00:00:00,30.4,24.9,35.5,29.5,2018-04-08 05:53:44,2018-04-08 17:54:10,14.8,28.4,91.8004,16.75,B,0.0,8.900001,8.900001,Hujan Sedang
98,2018-04-09 00:00:00,30.4,24.0,36.3,28.9,2018-04-09 05:53:37,2018-04-09 17:53:43,9.2,23.0,87.954636,18.43,B,0.0,9.800002,9.800002,Hujan Sedang
99,2018-04-10 00:00:00,32.5,24.4,38.4,29.4,2018-04-10 05:53:31,2018-04-10 17:53:17,13.2,29.2,89.99999,21.67,B,,,0.0,Tidak Hujan
100,2018-04-11 00:00:00,32.3,24.8,37.9,30.0,2018-04-11 05:53:24,2018-04-11 17:52:52,14.0,28.8,81.39873,23.62,B,0.0,0.0,0.0,Tidak Hujan
101,2018-04-12 00:00:00,31.5,25.5,37.3,30.6,2018-04-12 05:53:19,2018-04-12 17:52:27,13.9,29.9,87.27994,19.82,B,0.0,4.2,4.2,Hujan Ringan
102,2018-04-13 00:00:00,32.8,25.4,39.7,31.2,2018-04-13 05:53:13,2018-04-13 17:52:02,12.0,29.9,83.89135,22.73,B,0.0,7.4,7.4,Hujan Ringan
103,2018-04-14 00:00:00,31.2,25.9,38.1,31.4,2018-04-14 05:53:08,2018-04-14 17:51:39,10.1,25.2,98.38554,18.42,B,0.0,9.5,9.5,Hujan Sedang
104,2018-04-15 00:00:00,32.2,25.2,39.9,30.8,2018-04-15 05:53:04,2018-04-15 17:51:16,10.2,24.8,166.93066,20.72,B,0.0,4.0,4.0,Hujan Ringan
105,2018-04-16 00:00:00,32.1,24.1,38.9,29.1,2018-04-16 05:52:59,2018-04-16 17:50:53,9.7,22.0,7.3058205,22.04,B,0.0,1.3000001,1.3000001,Hujan Ringan
106,2018-04-17 00:00:00,30.5,25.5,37.1,31.4,2018-04-17 05:52:55,2018-04-17 17:50:30,12.3,24.5,61.11357,19.49,B,0.0,6.7999997,6.7999997,Hujan Ringan
107,2018-04-18 00:00:00,31.5,24.9,38.3,30.2,2018-04-18 05:52:51,2018-04-18 17:50:07,8.1,20.2,136.2728,20.92,B,0.0,3.5999997,3.5999997,Hujan Ringan
108,2018-04-19 00:00:00,31.5,25.4,38.3,30.9,2018-04-19 05:52:47,2018-04-19 17:49:45,7.8,19.4,131.63344,19.77,B,0.0,1.2,1.2,Hujan Ringan
109,2018-04-20 00:00:00,30.9,25.2,37.9,30.7,2018-04-20 05:52:44,2018-04-20 17:49:23,7.2,20.2,88.1989,18.77,B,,,3.8,Hujan Ringan
110,2018-04-21 00:00:00,31.6,25.0,38.9,30.3,2018-04-21 05:52:40,2018-04-21 17:49:01,8.4,20.9,103.39247,19.17,B,0.0,4.4,4.4,Hujan Ringan
111,2018-04-22 00:00:00,31.9,24.8,38.2,30.0,2018-04-22 05:52:37,2018-04-22 17:48:40,10.0,23.8,107.1986,20.21,B,0.0,4.6,4.6,Hujan Ringan
112,2018-04-23 00:00:00,28.8,25.0,34.6,30.4,2018-04-23 05:52:34,2018-04-23 17:48:19,8.9,22.3,136.13809,6.31,B,0.0,11.100001,11.100001,Hujan Sedang
113,2018-04-24 00:00:00,29.9,24.9,35.3,30.5,2018-04-24 05:52:32,2018-04-24 17:47:59,12.2,28.4,96.67979,14.03,B,0.0,10.999999,10.999999,Hujan Sedang
114,2018-04-25 00:00:00,28.4,24.8,34.5,29.7,2018-04-25 05:52:30,2018-04-25 17:47:39,10.6,22.7,183.94513,14.86,B,0.0,13.499999,13.499999,Hujan Sedang
115,2018-04-26 00:00:00,29.8,24.5,34.6,29.3,2018-04-26 05:52:28,2018-04-26 17:47:20,16.1,30.6,92.71593,15.03,B,0.0,15.0,15.0,Hujan Sedang
116,2018-04-27 00:00:00,31.4,24.8,36.6,29.2,2018-04-27 05:52:27,2018-04-27 17:47:01,15.9,33.5,93.22446,19.75,B,0.0,15.100001,15.100001,Hujan Sedang
117,2018-04-28 00:00:00,32.2,24.6,39.0,29.1,2018-04-28 05:52:26,2018-04-28 17:46:43,9.2,23.8,81.088974,20.6,B,0.0,2.7,2.7,Hujan Ringan
118,2018-04-29 00:00:00,32.2,25.5,39.2,31.6,2018-04-29 05:52:25,2018-04-29 17:46:25,11.9,23.4,74.4652,21.4,B,0.0,0.1,0.1,Tidak Hujan
119,2018-04-30 00:00:00,32.4,24.5,38.3,29.3,2018-04-30 05:52:25,2018-04-30 17:46:09,10.8,23.0,91.15897,22.55,B,,,0.2,Tidak Hujan
120,2018-05-01 00:00:00,32.3,25.2,37.6,29.6,2018-05-01 05:52:26,2018-05-01 17:45:53,11.3,22.3,101.03814,23.2,B,0.0,0.0,0.0,Tidak Hujan
121,2018-05-02 00:00:00,32.3,24.1,38.3,28.5,2018-05-02 05:52:27,2018-05-02 17:45:38,9.8,19.8,111.03759,22.49,B,0.0,0.0,0.0,Tidak Hujan
122,2018-05-03 00:00:00,32.0,24.7,38.3,29.3,2018-05-03 05:52:29,2018-05-03 17:45:23,7.2,17.3,129.47243,21.21,B,0.0,0.4,0.4,Hujan Ringan
123,2018-05-04 00:00:00,32.5,24.7,38.2,29.9,2018-05-04 05:52:31,2018-05-04 17:45:10,10.7,21.2,112.74164,20.34,B,0.0,0.1,0.1,Tidak Hujan
124,2018-05-05 00:00:00,32.6,25.2,38.1,30.6,2018-05-05 05:52:33,2018-05-05 17:44:57,12.2,24.1,86.82859,21.1,B,0.0,0.0,0.0,Tidak Hujan
125,2018-05-06 00:00:00,32.5,26.3,38.1,31.4,2018-05-06 05:52:37,2018-05-06 17:44:45,14.4,25.6,100.70516,23.12,B,0.0,0.1,0.1,Tidak Hujan
126,2018-05-07 00:00:00,33.4,25.1,38.4,29.5,2018-05-07 05:52:40,2018-05-07 17:44:34,13.2,27.7,91.73944,23.37,B,0.0,0.0,0.0,Tidak Hujan
127,2018-05-08 00:00:00,32.9,24.4,39.5,28.8,2018-05-08 05:52:45,2018-05-08 17:44:23,10.3,22.0,97.625946,23.17,B,0.0,0.3,0.3,Tidak Hujan
128,2018-05-09 00:00:00,32.7,24.9,38.2,30.1,2018-05-09 05:52:49,2018-05-09 17:44:13,12.9,25.9,89.05825,22.4,B,0.0,0.0,0.0,Tidak Hujan
129,2018-05-10 00:00:00,32.0,25.1,37.1,30.1,2018-05-10 05:52:54,2018-05-10 17:44:03,12.9,27.7,95.54915,21.64,B,,,0.3,Hujan Ringan
130,2018-05-11 00:00:00,31.9,25.1,36.9,29.8,2018-05-11 05:53:00,2018-05-11 17:43:54,14.5,28.1,94.553665,21.81,B,0.0,0.0,0.0,Tidak Hujan
131,2018-05-12 00:00:00,31.6,23.6,37.8,27.5,2018-05-12 05:53:06,2018-05-12 17:43:46,8.9,18.4,85.815155,23.14,B,0.0,0.0,0.0,Tidak Hujan
132,2018-05-13 00:00:00,32.9,25.1,38.9,30.6,2018-05-13 05:53:12,2018-05-13 17:43:38,13.6,25.6,83.87401,22.16,B,0.0,0.0,0.0,Tidak Hujan
133,2018-05-14 00:00:00,32.1,25.9,37.8,31.3,2018-05-14 05:53:19,2018-05-14 17:43:31,12.0,23.8,83.21932,22.2,B,0.0,0.0,0.0,Tidak Hujan
134,2018-05-15 00:00:00,32.3,24.9,38.2,29.6,2018-05-15 05:53:26,2018-05-15 17:43:25,15.3,30.6,91.9811,19.75,B,0.0,2.0,2.0,Hujan Ringan
135,2018-05-16 00:00:00,31.9,25.5,38.1,30.6,2018-05-16 05:53:34,2018-05-16 17:43:19,12.5,27.7,101.39698,18.39,B,0.0,8.300001,8.300001,Hujan Ringan
136,2018-05-17 00:00:00,30.9,25.5,36.4,31.2,2018-05-17 05:53:42,2018-05-17 17:43:14,11.7,29.5,101.88869,15.51,B,0.0,4.7999997,4.7999997,Hujan Ringan
137,2018-05-18 00:00:00,32.2,25.2,38.0,30.3,2018-05-18 05:53:50,2018-05-18 17:43:10,14.8,31.0,92.82526,18.67,B,0.0,2.8000002,2.8000002,Hujan Ringan
138,2018-05-19 00:00:00,30.9,24.6,36.1,30.0,2018-05-19 05:53:58,2018-05-19 17:43:06,12.2,27.0,87.825325,15.64,B,0.0,9.399999,9.399999,Hujan Sedang
139,2018-05-20 00:00:00,31.7,24.3,37.9,29.2,2018-05-20 05:54:07,2018-05-20 17:43:02,8.0,19.8,84.96628,17.71,B,,,1.0,Hujan Ringan
