Id,Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions
1054,VOLKSWAGEN,ROUTAN,MINIVAN,3.6,6,A6,X,14.2,9.5,12.1,23,278
2482,CHEVROLET,TAHOE 4WD FFV,SUV - STANDARD,5.3,8,A6,E,20.9,14.5,18.0,16,300
3687,FORD,FOCUS (Start/Stop),COMPACT,1.0,3,AS6,X,8.5,6.2,7.5,38,176
2045,RAM,1500 (MDS),PICKUP TRUCK - STANDARD,5.7,8,A6,X,17.1,12.0,14.8,19,340
2573,FORD,EXPEDITION 4X4,SUV - STANDARD,3.5,6,AS6,X,16.2,11.9,14.3,20,334
6598,BMW,M4 Cabriolet Competition,SUBCOMPACT,3.0,6,AM7,Z,14.5,10.5,12.7,22,299
2287,BMW,428i COUPE,COMPACT,2.0,4,AS8,Z,9.9,6.5,8.4,34,197
5733,FIAT,500,MINICOMPACT,1.4,4,M5,X,8.5,7.1,7.9,36,186
3194,SUBARU,FORESTER AWD,SUV - SMALL,2.5,4,AV6,X,9.6,7.5,8.7,32,204
1169,BMW,328i xDRIVE GRAN TURISMO,FULL-SIZE,2.0,4,AS8,Z,10.6,7.2,9.1,31,209
7360,VOLKSWAGEN,Arteon 4MOTION,FULL-SIZE,2.0,4,AS8,Z,11.5,8.2,10.0,28,234
5045,LEXUS,IS 300 AWD,COMPACT,3.5,6,AS6,Z,12.3,9.1,10.9,26,254
6092,LEXUS,RX 450h L AWD,SUV - STANDARD,3.5,6,AV6,Z,8.1,8.4,8.1,35,190
5267,PORSCHE,911 CARRERA GTS CABRIOLET,MINICOMPACT,3.0,6,M7,Z,12.7,9.0,11.0,26,258
992,TOYOTA,PRIUS,MID-SIZE,1.8,4,AV,X,4.7,4.9,4.8,59,110
804,MINI,COOPER S PACEMAN ALL4,COMPACT,1.6,4,A6,Z,10.0,7.8,9.0,31,207
6815,FORD,Fusion,MID-SIZE,1.5,4,AS6,X,10.0,7.0,8.7,32,203
7287,ROLLS-ROYCE,Dawn,COMPACT,6.6,12,AS8,Z,20.4,13.1,17.1,17,400
1011,TOYOTA,TUNDRA 4WD,PICKUP TRUCK - STANDARD,4.6,8,AS6,X,16.9,12.8,15.1,19,347
3308,VOLVO,XC70 T5,SUV - SMALL,2.0,4,AS8,X,10.3,7.6,9.1,31,213
2609,FORD,FOCUS,COMPACT,1.0,3,AS6,X,8.5,5.9,7.3,39,171
5705,DODGE,Challenger SRT Hellcat,MID-SIZE,6.2,8,M6,Z,18.1,11.4,15.1,19,352
5031,LAMBORGHINI,HURACAN SPYDER,TWO-SEATER,5.2,10,AM7,Z,16.7,11.7,14.5,19,337
5532,BMW,750Li xDrive,FULL-SIZE,4.4,8,AS8,Z,14.0,9.6,12.0,24,282
5677,CHEVROLET,Tahoe,SUV - STANDARD,5.3,8,A6,X,15.7,10.5,13.4,21,314
6593,BMW,M240i Coupe M Performance,SUBCOMPACT,3.0,6,M6,Z,12.7,8.8,10.9,26,255
1634,INFINITI,QX50 AWD,STATION WAGON - SMALL,3.7,6,AS7,Z,13.7,9.7,11.9,24,274
2237,AUDI,A8 QUATTRO,MID-SIZE,3.0,6,AS8,Z,12.6,8.0,10.5,27,247
6343,PORSCHE,911 Turbo Cabriolet,MINICOMPACT,3.8,6,AM7,Z,12.7,9.9,11.4,25,267
4289,TOYOTA,COROLLA LE ECO (2-mode),MID-SIZE,1.8,4,AV,X,8.0,6.3,7.2,39,168
1473,FORD,F-150 FFV 4X4,PICKUP TRUCK - STANDARD,3.5,6,A6,X,13.9,10.5,12.4,23,285
3420,BMW,M240i COUPE,SUBCOMPACT,3.0,6,AS8,Z,11.1,7.8,9.6,29,224
4131,MINI,JOHN COOPER WORKS CONVERTIBLE,MINICOMPACT,2.0,4,AS6,Z,9.4,7.2,8.4,34,196
3126,PORSCHE,911 TARGA 4S,MINICOMPACT,3.8,6,M7,Z,13.1,9.2,11.4,25,267
1710,KIA,FORTE 5,FULL-SIZE,2.0,4,AS6,X,9.5,7.2,8.5,33,196
5350,SUBARU,CROSSTREK AWD,SUV - SMALL,2.0,4,AV7,X,8.8,7.2,8.1,35,188
5935,HYUNDAI,Santa Fe,SUV - SMALL,2.4,4,AS8,X,10.8,8.0,9.6,29,225
6284,NISSAN,NV200 Cargo Van,SPECIAL PURPOSE VEHICLE,2.0,4,AV,X,9.8,8.8,9.3,30,218
7229,NISSAN,GT-R,SUBCOMPACT,3.8,6,AM6,Z,14.4,10.9,12.8,22,300
1058,VOLKSWAGEN,TOUAREG,SUV - STANDARD,3.6,6,AS8,Z,14.4,10.4,12.6,22,296
1951,NISSAN,FRONTIER,PICKUP TRUCK - SMALL,2.5,4,M5,X,12.2,10.2,11.3,25,260
4831,GMC,SIERRA 4WD,PICKUP TRUCK - STANDARD,5.3,8,A8,X,15.6,11.6,13.8,20,324
5807,FORD,Mustang Convertible,SUBCOMPACT,2.3,4,AS10,X,11.9,8.4,10.4,27,243
5639,CHEVROLET,Equinox,SUV - SMALL,1.5,4,A6,X,9.2,7.3,8.3,34,196
7019,JEEP,Grand Cherokee 4X4 Trackhawk,SUV - STANDARD,6.2,8,A8,Z,20.9,13.8,17.7,16,413
646,LAND ROVER,RANGE ROVER LWB V8 5.0 SC FFV,SUV - STANDARD,5.0,8,AS8,E,25.0,16.9,21.4,13,342
6506,ACURA,MDX Hybrid AWD,SUV - SMALL,3.0,6,AM7,Z,9.1,9.0,9.0,31,210
4472,BMW,750i xDRIVE SWB,FULL-SIZE,4.4,8,AS8,Z,14.3,9.4,12.1,23,283
323,DODGE,DURANGO AWD (MDS),SUV - STANDARD,5.7,8,A8,X,17.3,10.8,14.4,20,331
1435,FIAT,500 HATCHBACK,MINICOMPACT,1.4,4,M5,X,7.6,5.9,6.8,42,156
7355,TOYOTA,Tacoma 4WD D-Cab TRD Off-Road/Pro,PICKUP TRUCK - SMALL,3.5,6,M6,X,13.8,11.7,12.9,22,300
4027,MAZDA,MAZDA3 4-DOOR (SIL),COMPACT,2.5,4,M6,X,9.3,6.9,8.2,34,194
4130,MINI,JOHN COOPER WORKS CLUBMAN ALL4,MID-SIZE,2.0,4,M6,Z,11.4,7.8,9.7,29,227
1279,CADILLAC,CTS Vsport,MID-SIZE,3.6,6,AS8,Z,15.1,9.9,12.7,22,292
3663,FORD,F-150 FFV (Payload Pkg),PICKUP TRUCK - STANDARD,5.0,8,AS6,X,16.8,11.8,14.5,19,340
20,AUDI,A4,COMPACT,2.0,4,AV8,Z,9.9,7.4,8.8,32,202
2086,SUBARU,OUTBACK AWD,SUV - SMALL,2.5,4,AV6,X,9.3,7.1,8.3,34,191
3805,HONDA,FIT,STATION WAGON - SMALL,1.5,4,AV7,X,7.6,6.4,7.0,40,164
1319,CHEVROLET,EQUINOX AWD FFV,SUV - SMALL,2.4,4,A6,X,11.5,8.2,10.0,28,230
6204,MERCEDES-BENZ,E 450 4MATIC Coupe,SUBCOMPACT,3.0,6,A9,Z,12.5,9.1,11.0,26,257
3109,PORSCHE,911 CARRERA 4,MINICOMPACT,3.4,6,AM7,Z,11.7,8.5,10.2,28,240
5570,BMW,X6 xDrive35i,SUV - STANDARD,3.0,6,AS8,Z,13.0,9.9,11.6,24,272
2372,BUICK,VERANO,COMPACT,2.0,4,AS6,Z,11.4,7.9,9.8,29,231
943,SMART,FORTWO CABRIOLET,TWO-SEATER,1.0,3,AM5,Z,6.9,5.7,6.4,44,147
4300,TOYOTA,RAV4,SUV - SMALL,2.5,4,AS6,X,10.3,8.0,9.2,31,217
5578,BUICK,Encore,SUV - SMALL,1.4,4,AS6,X,9.4,7.8,8.7,32,204
2581,FORD,EXPLORER FFV AWD,SUV - STANDARD,3.5,6,AS6,E,19.7,14.1,17.2,16,282
3178,ROLLS-ROYCE,PHANTOM,FULL-SIZE,6.7,12,AS8,Z,20.9,12.7,17.2,16,403
1967,NISSAN,PATHFINDER 4WD,SUV - SMALL,3.5,6,AV,X,12.1,8.9,10.7,26,246
5282,PORSCHE,911 CARRERA 4S CABRIOLET,MINICOMPACT,3.0,6,AM7,Z,10.9,8.5,9.9,29,231
4638,CHRYSLER,300 AWD,FULL-SIZE,3.6,6,A8,X,12.8,8.7,11.0,26,258
3496,CHEVROLET,COLORADO,PICKUP TRUCK - SMALL,2.5,4,M6,X,12.2,9.2,10.9,26,254
422,FORD,TAURUS,FULL-SIZE,2.0,4,AS6,X,10.5,7.3,9.1,31,209
3586,CHRYSLER,PACIFICA (Stop-Start),MINIVAN,3.6,6,A9,X,12.4,8.4,10.6,27,249
5795,FORD,Fiesta,SUBCOMPACT,1.6,4,M5,X,8.8,6.8,7.9,36,184
1826,MAZDA,MX-5,TWO-SEATER,2.0,4,AS6,Z,11.5,8.5,10.1,28,232
6184,MERCEDES-BENZ,AMG S 63 4MATIC+,FULL-SIZE,4.0,8,A9,Z,14.1,8.9,11.8,24,275
891,PORSCHE,BOXSTER,TWO-SEATER,2.7,6,M6,Z,11.5,7.9,9.9,29,228
493,HONDA,CR-V AWD,SUV - SMALL,2.4,4,A5,X,10.6,7.9,9.4,30,216
4133,MITSUBISHI,LANCER,COMPACT,2.0,4,AV6,X,8.7,6.9,7.9,36,183
4943,JAGUAR,F-TYPE COUPE R-DYNAMIC,TWO-SEATER,3.0,6,M6,Z,15.3,10.0,12.9,22,302
1402,DODGE,CHARGER,FULL-SIZE,3.6,6,A8,X,12.4,7.7,10.3,27,237
2676,GMC,SIERRA eASSIST 4WD,PICKUP TRUCK - STANDARD,5.3,8,A8,X,14.4,11.2,13.0,22,304
96,BMW,435i xDRIVE COUPE,COMPACT,3.0,6,A8,Z,11.7,7.8,9.9,29,228
837,NISSAN,370Z,TWO-SEATER,3.7,6,M6,Z,13.3,9.3,11.5,25,264
566,JAGUAR,XKR COUPE,MINICOMPACT,5.0,8,AS6,Z,15.6,10.9,13.5,21,310
3587,DODGE,CHALLENGER,MID-SIZE,3.6,6,A8,X,12.4,7.8,10.3,27,242
7127,MASERATI,Levante S,SUV - STANDARD,3.0,6,AS8,Z,15.9,11.1,13.7,21,324
5371,TOYOTA,AVALON,MID-SIZE,3.5,6,AS6,X,11.4,7.7,9.7,29,226
170,CADILLAC,CTS SPORT WAGON,STATION WAGON - SMALL,3.6,6,AS6,X,13.3,8.9,11.3,25,260
3787,HONDA,ACCORD SEDAN,MID-SIZE,2.4,4,AV,X,8.7,6.6,7.8,36,180
1650,JAGUAR,XFR-S,MID-SIZE,5.0,8,AS8,Z,15.7,10.3,13.2,21,304
7160,MAZDA,MX-5 (SIL),TWO-SEATER,2.0,4,M6,Z,9.0,7.0,8.1,35,189
4406,AUDI,A7 QUATTRO,MID-SIZE,3.0,6,AS8,Z,11.5,8.2,10.0,28,235
1271,CADILLAC,ATS,COMPACT,2.5,4,AS6,X,11.1,7.2,9.3,30,214
6036,KIA,Sorento AWD,SUV - SMALL,3.3,6,AS8,X,12.5,9.7,11.2,25,265
1659,JAGUAR,XKR CONVERTIBLE,MINICOMPACT,5.0,8,AS6,Z,15.9,10.9,13.6,21,313
3870,JAGUAR,F-TYPE S CONVERTIBLE AWD,TWO-SEATER,3.0,6,AS8,Z,13.0,9.2,11.3,25,265
466,GMC,TERRAIN AWD,SUV - SMALL,2.4,4,A6,X,11.5,8.2,10.0,28,230
5173,MERCEDES-BENZ,S 560 CABRIOLET,SUBCOMPACT,4.0,8,A9,Z,13.9,9.2,11.8,24,276
5805,FORD,Mustang,SUBCOMPACT,5.0,8,M6,X,16.1,9.9,13.3,21,311
3404,BMW,530i xDRIVE,MID-SIZE,2.0,4,AS8,Z,10.5,7.4,9.1,31,213
6079,LEXUS,LC 500h,SUBCOMPACT,3.5,6,AV10,Z,9.0,7.1,8.1,35,189
3138,PORSCHE,CAYENNE,SUV - STANDARD,3.6,6,A8,Z,13.5,9.7,11.8,24,277
1872,MERCEDES-BENZ,S 600,FULL-SIZE,6.0,12,AS7,Z,18.1,11.0,14.9,19,343
1589,HYUNDAI,ELANTRA,MID-SIZE,2.0,4,AS6,X,9.7,6.7,8.3,34,191
3922,KIA,FORTE (GDI),MID-SIZE,2.0,4,AS6,X,9.4,7.0,8.3,34,198
2032,PORSCHE,PANAMERA 4,FULL-SIZE,3.6,6,AM7,Z,13.1,8.7,11.1,25,255
2972,MERCEDES-BENZ,AMG GL 63 S,SUV - STANDARD,5.5,8,AS7,Z,18.2,14.0,16.3,17,369
5752,FORD,F-150,PICKUP TRUCK - STANDARD,2.7,6,AS10,X,12.0,9.0,10.6,27,249
4306,TOYOTA,SIENNA,MINIVAN,3.5,6,AS8,X,12.5,8.9,10.9,26,255
5882,HONDA,Accord,FULL-SIZE,1.5,4,AV,X,7.9,6.3,7.2,39,168
6009,JEEP,Grand Cherokee 4X4 SRT,SUV - STANDARD,6.4,8,A8,Z,18.3,12.6,15.7,18,368
247,CHEVROLET,SONIC,COMPACT,1.4,4,AS6,X,9.1,6.7,8.0,35,184
4902,HYUNDAI,KONA AWD,SUV - SMALL,1.6,4,AM7,X,9.0,8.0,8.6,33,201
4439,BENTLEY,MULSANNE,MID-SIZE,6.8,8,AS8,Z,20.9,13.0,17.3,16,405
5813,FORD,T-150 Wagon,VAN - PASSENGER,3.7,6,AS6,X,16.9,13.1,15.2,19,355
7037,KIA,Forte,MID-SIZE,2.0,4,AV,X,7.9,5.9,7.0,40,165
3641,FORD,ESCAPE FFV,SUV - SMALL,2.5,4,AS6,E,15.2,10.8,13.3,21,219
5732,FIAT,500,MINICOMPACT,1.4,4,A6,X,9.7,7.4,8.7,32,203
4095,MERCEDES-BENZ,S 550 4MATIC CABRIOLET,COMPACT,4.7,8,A9,Z,13.9,9.3,11.8,24,276
4861,HONDA,CIVIC COUPE,COMPACT,2.0,4,AV,X,7.8,6.0,7.0,40,163
5197,MINI,COOPER S CONVERTIBLE,MINICOMPACT,2.0,4,M6,Z,10.3,7.4,9.0,31,210
6144,MAZDA,Mazda6 Turbo,MID-SIZE,2.5,4,AS6,X,10.0,7.5,8.9,32,208
3572,CHEVROLET,TRAX,SUV - SMALL,1.4,4,M6,X,9.2,7.1,8.2,34,194
3471,CADILLAC,CT6,FULL-SIZE,2.0,4,AS8,Z,11.0,7.8,9.5,30,223
3385,BMW,328d xDRIVE,COMPACT,2.0,4,AS8,D,7.9,5.9,7.0,40,189
2819,JEEP,PATRIOT 4X4,SUV - SMALL,2.4,4,A6,X,11.7,9.1,10.5,27,248
7134,MAZDA,CX-3 (SIL),COMPACT,2.0,4,M6,X,8.8,7.0,8.0,35,186
196,CHEVROLET,CORVETTE,TWO-SEATER,6.2,8,M7,Z,13.7,8.2,11.2,25,258
2956,MAZDA,MAZDA3 5-DOOR (SIL),MID-SIZE,2.5,4,M6,X,9.2,6.6,8.1,35,190
1156,BMW,228i CABRIOLET,SUBCOMPACT,2.0,4,AS8,Z,10.4,7.1,8.9,32,205
3625,FIAT,500 ABARTH HATCHBACK,MINICOMPACT,1.4,4,A6,X,9.7,7.4,8.7,32,202
168,CADILLAC,CTS SEDAN Vsport,MID-SIZE,3.6,6,AS8,Z,15.1,9.9,12.8,22,294
3033,MINI,COOPER S 5 DOOR,SUBCOMPACT,2.0,4,AS6,Z,9.2,7.0,8.2,34,193
6929,HONDA,Fit,STATION WAGON - SMALL,1.5,4,M6,X,8.1,6.6,7.4,38,174
7269,PORSCHE,Panamera Turbo Executive,FULL-SIZE,4.0,8,AM8,Z,12.8,9.2,11.2,25,261
5607,CHEVROLET,Blazer,SUV - SMALL,2.5,4,A9,X,10.8,8.8,9.9,29,232
4822,GMC,SIERRA FFV,PICKUP TRUCK - STANDARD,5.3,8,A6,E,19.7,13.9,17.0,17,283
3045,MINI,JOHN COOPER WORKS COUNTRYMAN ALL4,COMPACT,1.6,4,AS6,Z,10.1,7.7,9.0,31,212
3254,TOYOTA,VENZA 4WD,SUV - SMALL,3.5,6,AS6,X,12.8,9.3,11.3,25,263
5652,CHEVROLET,Silverado,PICKUP TRUCK - STANDARD,5.3,8,A6,X,15.9,11.4,13.9,20,326
4413,AUDI,Q7,SUV - STANDARD,2.0,4,AS8,Z,12.2,9.5,11.0,26,258
4187,NISSAN,SENTRA NISMO,MID-SIZE,1.6,4,AV7,Z,9.4,7.8,8.7,32,205
7184,MERCEDES-BENZ,C 300 4MATIC Cabriolet,SUBCOMPACT,2.0,4,A9,Z,11.3,8.1,9.9,29,231
5142,MERCEDES-BENZ,AMG S 63 4MATIC CABRIOLET,SUBCOMPACT,4.0,8,A9,Z,15.8,9.8,13.1,22,306
5048,LEXUS,LC 500h,SUBCOMPACT,3.5,6,AV10,Z,8.9,7.0,8.0,35,187
1075,ACURA,RDX AWD,SUV - SMALL,3.5,6,AS6,Z,12.1,8.7,10.6,27,244
841,NISSAN,ALTIMA,MID-SIZE,3.5,6,AV,X,10.8,7.4,9.3,30,214
6976,INFINITI,QX60 AWD,SUV - SMALL,3.5,6,AV7,Z,12.5,9.0,10.9,26,257
5724,DODGE,Grand Caravan FFV,MINIVAN,3.6,6,A6,X,13.7,9.4,11.8,24,276
3411,BMW,740Li xDRIVE,FULL-SIZE,3.0,6,AS8,Z,11.9,8.1,10.2,28,238
7194,MERCEDES-BENZ,S 560 4MATIC,FULL-SIZE,4.0,8,A9,Z,13.5,8.6,11.3,25,265
1427,DODGE,JOURNEY,SUV - SMALL,2.4,4,A4,X,12.7,9.1,11.1,25,255
2830,JEEP,WRANGLER UNLIMITED 4X4,SUV - SMALL,3.6,6,M6,X,15.0,11.4,13.4,21,312
5621,CHEVROLET,Colorado,PICKUP TRUCK - SMALL,3.6,6,A8,X,13.4,9.6,11.7,24,274
610,KIA,FORTE 5,FULL-SIZE,2.0,4,M6,X,9.8,7.0,8.5,33,196
2807,JEEP,COMPASS,SUV - SMALL,2.4,4,M5,X,10.2,8.2,9.3,30,218
1595,HYUNDAI,EQUUS,FULL-SIZE,5.0,8,AS8,Z,15.8,10.2,13.3,21,306
4009,MASERATI,GRANTURISMO CONVERTIBLE,SUBCOMPACT,4.7,8,AS6,Z,18.2,11.6,15.2,19,358
7115,LINCOLN,Continental AWD,FULL-SIZE,3.7,6,AS6,X,14.3,9.7,12.2,23,287
7261,PORSCHE,Panamera 4 Executive,FULL-SIZE,3.0,6,AM8,Z,12.4,9.0,10.9,26,253
2893,LEXUS,GS 350 F SPORT,MID-SIZE,3.5,6,AS8,Z,12.5,8.6,10.7,26,251
2243,AUDI,Q3 QUATTRO,COMPACT,2.0,4,AS6,Z,11.9,8.4,10.3,27,240
4673,DODGE,DURANGO AWD SRT,SUV - STANDARD,6.4,8,A8,Z,18.3,12.2,15.6,18,363
144,BUICK,LACROSSE,MID-SIZE,3.6,6,AS6,X,13.7,8.7,11.5,25,264
2983,MERCEDES-BENZ,AMG SLK 55,TWO-SEATER,5.5,8,AS7,Z,12.4,8.5,10.6,27,252
6497,VOLVO,V90 CC T6 AWD,STATION WAGON - MID-SIZE,2.0,4,AS8,Z,11.6,8.1,10.0,28,233
2622,FORD,FUSION,MID-SIZE,2.5,4,AS6,X,10.5,6.9,8.9,32,209
5906,HONDA,Fit,STATION WAGON - SMALL,1.5,4,AV7,X,7.6,6.5,7.0,40,166
4160,NISSAN,FRONTIER,PICKUP TRUCK - SMALL,4.0,6,A5,X,14.8,10.6,12.9,22,304
6042,KIA,Sportage AWD,SUV - SMALL,2.4,4,AS6,X,11.3,9.5,10.5,27,247
5804,FORD,Mustang,SUBCOMPACT,5.0,8,AS10,X,15.0,9.1,12.3,23,289
5145,MERCEDES-BENZ,AMG SL 63,TWO-SEATER,5.5,8,A7,Z,14.7,9.5,12.4,23,291
2095,TOYOTA,4RUNNER 4WD,SUV - STANDARD,4.0,6,AS5,X,14.2,11.1,12.8,22,294
3440,BMW,X3 xDRIVE35i,SUV - SMALL,3.0,6,AS8,Z,12.7,9.1,11.1,25,260
2849,KIA,OPTIMA HYBRID,MID-SIZE,2.4,4,AM6,X,6.6,5.9,6.3,45,147
7177,MERCEDES-BENZ,AMG GLC 63 S 4MATIC+ Coupe,SUV - SMALL,4.0,8,A9,Z,15.0,10.9,13.2,21,309
6696,CHEVROLET,Equinox AWD,SUV - SMALL,2.0,4,A9,Z,10.9,8.3,9.7,29,228
3848,INFINITI,Q60 AWD,SUBCOMPACT,3.0,6,AS7,Z,12.4,8.8,10.8,26,253
7146,MAZDA,CX-9 4WD,SUV - SMALL,2.5,4,AS6,X,11.6,9.1,10.5,27,244
621,KIA,RIO ECO,COMPACT,1.6,4,A6,X,8.5,6.4,7.6,37,175
